S NO,INSTITUTE  ID,NAME OF THE INSTITUTE,CITY,SCORE,TLR /100,,,,TOTAL/100,RP /100,,,,TOTAL/100,GO /100,,,,TOTAL/100,OI/100,,,,TOTAL/100,PR/100,RANK
,,,,,SS/20,FSR/30,FQE/20,FRU/30,,PU/35,QP/40,IPR/15,FPPP/10,,GPH/40,GUE/15,MS/25,GPHD/20,,RD/30,WD/30,ESCS/20,PCS/20,,,
146,IR-E-C-18886,Shri Ramdeobaba College of Engineering and Managemen,Nagpur,37.02,10.5,25.95,12.74,7.8,56.99,4.05,2.71,2.5,0.05,9.31,31.7,15,10.82,0.08,57.6,4.8,25.2,0.89,20,50.89,5.12,146
147,IR-E-U-0643,Galgotias University,Gautam Budh Nagar,36.89,13.36,21.74,11.87,5.97,52.94,3.6,6.23,6,0.21,16.04,24.13,15,9.42,0.46,49.01,11.79,20.9,2.56,20,55.25,8.8,147
148,IR-E-C-19534,Goka Raju Ranga Raju Institute of Engineering & Technology,Hyderabad,36.79,13.5,23.38,10.86,6.29,54.03,4.29,5.17,3,0.13,12.59,32.27,14.68,10.15,0,57.1,1.16,25.06,3.96,20,50.18,3.65,148
149,IR-E-U-0143,Maharaja Sayajirao University of Baroda,Vadodara,36.78,14,22.97,11.36,6.39,54.72,4.53,8.27,0.5,0.91,14.21,26.44,15,9.16,3.1,53.7,0.73,21.89,4.99,20,47.61,6.07,149
150,IR-E-C-6581,Pondicherry Engineering College,Puducherry,36.77,9.53,18.03,10.4,8.42,46.38,6.68,6.59,0.5,1.74,15.51,30.72,13.36,11.79,3.62,59.49,3.55,22.78,7.87,20,54.2,8.8,150
151,IR-E-C-43264,"National Institute of Advanced Manufacturing Technology, ",Ranch,36.77,5.28,29.17,17.15,15.93,67.53,1.76,2.87,0,0.3,4.93,25.53,11.39,11.2,1.1,49.22,18.3,8.06,2.95,20,49.31,2.64,150
152,IR-E-U-0454,Hindustan Institute of Technology and Science (HITS),Chennai,36.71,9.52,23.42,12.68,4.47,50.09,9.24,10.84,6,0.18,26.26,18.19,13.09,9.74,1.1,42.12,6.52,19.75,2,20,48.27,5.6,152
153,IR-E-U-0604,"Amity University, Gwalior",Gwalior,36.49,5.66,30,18.01,6.45,60.12,2.8,3.16,0.5,0.33,6.79,33.47,15,9.52,0.16,58.15,4.44,22.07,0.27,20,46.78,1.08,153
154,IR-E-C-16614,R.M.K. Engineering College,Thiruvallur,36.46,9.8,27.22,12.28,8.16,57.46,1.67,2.95,3,0.38,8,30.33,15,11.15,0,56.48,6,23.99,2.19,20,52.18,3.14,154
155,IR-E-U-1119 ,Mahindra University,Hyderabad ,36.46,7.62,20.95,13.99,15.07,57.63,1.79,2.27,0,0.83,4.89,35.17,15,13.72,0,63.89,7.77,21.44,0.01,20,49.22,0,154
156,IR-E-I-1441 ,Saveetha Institute of Medical and Technical Sciences,Chennai ,36.44,14.5,13.52,9.4,8.13,45.55,13.6,12.68,3.5,0.24,30.02,10.75,15,9.75,0.38,35.88,20.02,20.04,4.7,20,64.76,1.08,156
