S NO,INSTITUTE  ID,NAME OF THE INSTITUTE,CITY,SCORE,TLR /100,,,,TOTAL/100,RP /100,,,,TOTAL/100,GO /100,,,,TOTAL/100,OI/100,,,,TOTAL/100,PR/100,RANK
,,,,,SS/20,FSR/30,FQE/20,FRU/30,,PU/35,QP/40,IPR/15,FPPP/10,,GPH/40,GUE/15,MS/25,GPHD/20,,RD/30,WD/30,ESCS/20,PCS/20,,,
11,IR-E-U-0575,Jadavpur University,Kolkata,65.68,15.96,26.43,17.02,11.97,71.38,28.43,29.76,3,3.23,64.42,34.44,15,16.58,12.1,78.12,6.15,18.04,8.15,20,52.34,40.97,11
12,IR-E-U-0490,Vellore Institute of Technology,Vellore,65.53,18.6,21.37,14.18,8.39,62.54,27.15,36.93,9,0.22,73.3,26.62,15,13.42,14.41,69.45,18.14,21.01,0.12,20,59.27,49.6,12
13,IR-E-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,63.51,17.49,17.57,12.31,15.25,62.62,22.59,27.26,5,2.41,57.26,35.57,15,20.45,10.7,81.72,17.31,9.86,8.89,20,56.06,55.89,13
14,IR-E-U-0205,Indian Institute of Technology (Indian School of Mines),Dhanbad,63.5,14.65,22.29,15.05,16.71,68.7,28.31,31.19,3,2.87,65.37,30.04,13.89,17.41,9.83,71.17,18.67,7.95,7.73,20,54.35,36.23,14
15,IR-E-U-0357,National Institute of Technology Rourkela,Rourkela,62.36,18.5,24.68,16.9,13.31,73.39,26.08,28.84,3,1.53,59.45,30.85,15,14.19,11.76,71.8,15.66,14.96,6.46,20,57.08,24.43,15
16,IR-E-U-0273,Indian Institute of Technology Indore, Indore,61.68,10.09,30,16.88,19.31,76.28,24.68,26.37,2,3.7,56.75,25.31,15,20.53,9.54,70.38,17.76,11.56,3.16,20,52.48,24.43,16
17,IR-E-U-0439,Anna University,Chennai,61.41,17.21,23.28,13.15,10.69,64.33,24.56,30.87,7,2.16,64.59,19.65,14.62,12.12,11.41,57.8,0.65,24.7,3.52,20,48.87,62.83,17
18,IR-E-U-0308,Institute of Chemical Technology,Mumbai,61.4,10.29,27.14,17.87,21.15,76.45,18.24,20.92,13,4.82,56.98,30.8,15,13.34,10.39,69.53,7.28,24.59,2.71,20,54.58,19.95,18
19,IR-E-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,60.92,17,27.13,14.76,10.08,68.97,26.4,22.8,8,1.44,58.64,32.7,15,10.87,2.83,61.4,18.46,22.02,1.258,20,61.738,41.78,19
20,IR-E-U-0184,"Indian Institute of Technology, Mandi",Mandi,60.43,9.33,27.54,18.54,20.36,75.77,18.75,18.3,4,3,44.05,35.96,14.55,20.43,6.61,77.55,21.11,19.14,6.91,20,67.16,22.57,20
21,IR-E-U-0025,National Institute of Technology Warangal,Warangal,60,16.5,24.99,16.66,15.84,73.99,19.67,20.81,3,2.22,45.7,34.03,15,16.72,9.36,75.11,15.69,14.97,4.25,20,54.91,35.77,21
22,IR-E-U-0378,Indian Institute of Technology Ropar,Rupnagar,59.16,11.28,30,17.86,21.93,81.07,15.66,17.3,2,3.83,38.79,30.1,15,18.81,4.85,68.76,23.11,14.67,5.89,20,63.67,30.87,22
23,IR-E-U-0139,"Indian Institute of Technology, Gandhinagar",Gandhinagar,58.27,11.5,27.52,17.66,23.51,80.19,16.44,14.82,1.5,6.32,39.08,27.92,13.66,15.76,7.29,64.63,21,14.97,4.5,20,60.47,35.07,23
24,IR-E-U-0473,S.R.M. Institute of Science and Technology,Chennai,58.02,18.3,20.97,12.01,9.92,61.2,22.24,27.67,9,0.3,59.21,34.82,15,9.86,7.49,67.17,19.46,21.48,0.82,20,61.76,22.89,24
25,IR-E-U-0497,Amity University,Gautam Budh Nagar,57.73,14.72,30,15.97,9.26,69.95,26.46,24.11,11,0.62,62.19,25.36,15,10.16,5.15,55.67,14.31,22.51,0.51,20,57.33,12.19,25
26,IR-E-U-0108,"Jamia Millia Islamia, New Delhi",New Delhi,57.51,10.5,25.38,13.89,9.77,59.54,25.78,26.06,3,2.61,57.45,36.92,15,14.83,6.79,73.54,21.79,10.17,8.98,20,60.94,16.07,26
27,IR-E-U-0363,Siksha `O` Anusandhan,Bhubaneswar,57.48,17.11,30,14.79,14.04,75.94,14.54,18.54,6,0.94,40.02,35.44,15,9.86,8.42,68.72,18.32,30,1.22,20,69.54,19.95,27
28,IR-E-I-1480,Thapar Institute of Engineering and Technology,Patiala,57.18,16.51,18.09,12.19,12.73,59.52,21.68,30.1,4.5,0.69,56.97,32.98,15,14.9,8.31,71.19,14.06,19.7,0.79,20,54.55,25.33,28
29,IR-E-U-0391,Birla Institute of Technology & Science - Pilani,Pilani,56.9,17.43,18.59,12.32,12.51,60.85,19.06,23.56,3,0.66,46.28,37.75,15,19.68,5.84,78.27,21.45,12.69,0.05,20,54.19,36.91,29
30,IR-E-U-0395,Indian Institute of Technology Jodhpur,Jodhpur,56.7,10.3,29.32,17.98,20.82,78.42,13.73,14.61,3,3.59,34.93,36.38,15,18.36,4.67,74.41,20.13,20.59,5.72,20,66.44,11.78,30
31,IR-E-U-0263,"National Institute of Technology, Calicut",Kozhikode,56.66,16.64,22.56,14.91,13.02,67.13,15.82,16.4,3,1.09,36.31,35.85,15,15.57,10.44,76.86,13.24,21.19,9.29,20,63.72,38.88,31
32,IR-E-U-0334,"Visvesvaraya National Institute of Technology, Nagpur",Nagpur,56.62,14.25,22.44,14.96,14.74,66.39,18.46,18.53,9,2.87,48.86,37.27,15,15.1,8.28,75.65,13.16,16.47,3.52,20,53.15,16.07,32
33,IR-E-U-0064,"Indian Institute of Technology, Patna",Patna,56.19,10.58,25.87,16.27,18.73,71.45,22.06,21.15,2,2.57,47.78,25.09,12.02,18.81,6.47,62.39,16.78,9.47,5.22,20,51.47,27.92,33
34,IR-E-U-0577,National Institute of Technology Durgapur,Durgapur,55.76,13.04,24.08,16.17,14.32,67.61,19.79,19.84,2,1.68,43.31,35.32,15,14.46,7.98,72.76,14.26,13.52,9.98,20,57.76,21.61,34
35,IR-E-U-0098,Delhi Technological University,New Delhi,55.65,18.07,28.91,11.74,10.25,68.97,14.83,18.54,0.5,0.9,34.77,35.94,15,17.57,5.15,73.66,14.29,19.83,2.04,20,56.16,42.38,35
36,IR-E-U-0355,Indian Institute of Technology Bhubaneswar,Bhubaneswar,55.11,11.7,24.55,16.31,17.53,70.09,15.99,16.74,1,3.17,36.9,30.55,14.99,18.86,5.6,70,23.23,10.86,6.69,20,60.78,29.29,36
37,IR-E-U-0496,Aligarh Muslim University,Aligarh,54.7,12,30,16.02,12.88,70.9,23.65,25.4,3,1.77,53.82,26.77,12.61,11.94,5.68,57,5.89,11.72,4.76,20,42.37,16.43,37
38,IR-E-U-0055,"National Institute of Technology, Silchar",Silchar,54.63,14.37,23.06,15.47,12.58,65.48,21.17,21.92,4,0.91,48,30.49,15,14.21,7.1,66.8,14.27,16,7.31,20,57.58,14.56,38
39,IR-E-U-0458,Kalasalingam Academy of Research and Education,Srivilliputtur,54.62,16.24,30,17.37,9.99,73.6,11.2,15.55,4,1.51,32.26,32.98,15,10.62,6.22,64.82,17.11,30,7.23,20,74.34,24.73,39
40,IR-E-U-0584,"Indian Institute of Engineering Science and Technology, Shibpur",HOWRAH,54.57,12.68,21.02,12.78,13.63,60.11,22.88,21.33,1.5,2.31,48.02,28.15,14.28,14.28,10.7,67.41,11.23,13.75,3.28,20,48.26,38.23,40
41,IR-E-U-0476,Shanmugha Arts Science Technology & Research Academy,Thanjavur,53.36,16.17,27.43,15.72,10.7,70.02,15.92,20.23,2,2.01,40.16,33.69,15,12.35,6.25,67.29,9.67,25.65,0.62,20,55.94,12.59,41
42,IR-E-U-0356,Kalinga Institute of Industrial Technology,BHUBANESWAR,53.06,19,23.83,14.91,12.52,70.26,13.18,17.06,5,0.51,35.75,22.45,15,11.88,9.18,58.51,25.44,29.79,1.73,20,76.96,18.58,42
43,IR-E-U-0255,Indian Institute of Space Science and Technology,Thiruvananthapuram,52.37,7.23,30,17.71,20.84,75.78,11.68,10.56,2,1.1,25.34,30,13.25,16.98,2.37,62.6,19.67,18.14,4.16,20,61.97,33.15,43
44,IR-E-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,51.93,16.39,30,17.09,6.6,70.08,19.92,19.54,5,0.35,44.81,21.27,15,10.82,5.64,52.73,10.37,25.54,0.26,20,56.17,12.99,44
45,IR-E-U-0747,Chandigarh University,Mohali,51.73,18,30,17.29,10.63,75.92,4.6,8.96,11,0.28,24.84,19.42,15,12.3,5.72,52.44,24.97,30,4.51,20,79.48,30.61,45
46,IR-E-U-0410,Malaviya National Institute of Technology,Jaipur,51.69,15.53,21.12,14.35,11.58,62.58,19.52,22.17,3,1.66,46.35,26.9,12.6,14.72,7.98,62.2,11.77,16.34,7.03,20,55.14,10.53,46
47,IR-E-U-0530,Motilal Nehru National Institute of Technology,Prayagraj,51.17,16.22,17.13,11.76,13.9,59.01,16.03,18.29,1.5,2.16,37.98,34.55,15,16.89,8.78,75.22,13.11,11.17,7.86,20,52.14,18.23,47
48,IR-E-C-16604,Sri Sivasubramaniya Nadar College of Engineering,Kancheepuram,50.5,12.5,25.52,14.63,11.13,63.78,17.39,16.42,2.5,1.01,37.32,32.25,14.56,11.84,4.76,63.41,3.15,25.52,3.96,20,52.63,22.25,48
49,IR-E-U-0249,Visvesvaraya Technological University,Belgaum,50.2,7.26,27.76,14.72,22.32,72.06,22.57,16.93,1,0.38,40.88,27.96,14.47,8.8,0.89,52.12,1.93,27.7,2.84,20,52.47,6.54,49
50,IR-E-U-0172,National Institute of Technology Kurukshetra,Kurukshetra,50.11,13.64,19.75,11.31,13.03,57.73,19.21,20.68,3,0.77,43.66,29.02,14.9,15.27,4.16,63.35,15.03,16.75,3.55,20,55.33,14.94,50
51,IR-E-U-0379,Lovely Professional University,Phagwara,49.58,18,26.6,13.4,7.51,65.51,10.74,16.97,9,0.14,36.85,22.63,15,11.46,2.77,51.86,24.55,18.68,4.27,20,67.5,17.52,51
52,IR-E-U-0374,Dr. B R Ambedkar National Institute of Technology,Jalandhar,49.45,14.46,28.37,14.91,10.41,68.15,14.01,14.01,0.5,0.49,29.01,25.29,15,13.53,5.36,59.18,14.68,20.99,8.32,20,63.99,12.59,52
53,IR-E-U-0202,Birla Institute of Technology,Ranchi,49.33,11.59,27.11,16.33,11.52,66.55,16.85,15.75,0.5,1.44,34.54,22.58,13.16,15.63,5.23,56.6,11.11,18.61,0.86,20,50.58,26.21,53
54,IR-E-U-0474,Sathyabama Institute of Science and Technology,Chennai,48.56,15.09,27.21,14.22,8.35,64.87,15.64,17.72,3,1,37.36,17.22,15,9.62,4.93,46.77,17.25,23.97,2.16,20,63.38,21.93,54
55,IR-E-C-7252,Manipal Institute of Technology,Manipal,48.33,15.5,28.86,14.03,8.97,67.36,14.48,16.65,2,0.23,33.36,17.42,15,13.7,3.37,49.49,19.19,21.73,1.56,20,62.48,19.61,55
56,IR-E-U-0844,Indian Institute of Technology,Yerpedu,48.16,8,30,16.76,22.71,77.47,5.83,7.33,0,1.79,14.95,28.56,15,16.6,0.08,60.24,17.41,11.09,8.29,20,56.79,27.07,56
57,IR-E-C-37013,PSG College of Technology,Coimbatore,47.68,14.91,28.75,14.22,8.62,66.5,9.74,13.02,1.5,0.64,24.9,22.8,14.25,11.1,2.66,50.81,1.36,24.22,2.51,20,48.09,52.94,57
58,IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,Surat,47.61,14.37,18.23,12.19,11.74,56.53,15.61,17.35,4.5,1.18,38.64,29.7,14.79,14.42,6.18,65.09,12.64,13.95,3.28,20,49.87,10.53,58
59,IR-E-U-0389,Banasthali Vidyapith,Banasthali,47,12.68,26.96,16.4,9.17,65.21,7.23,9.75,0.5,0.77,18.25,34.18,15,12.17,8.42,69.77,21.63,30,1.51,20,73.14,7,59
60,IR-E-U-0619,National Institute of Technology Meghalaya,Shillong,46.67,7.21,30,17.01,12.43,66.65,13.89,12.8,0,1.21,27.9,30.13,13.24,12.57,1.76,57.7,12.67,18.15,12.16,20,62.98,4.63,60
61,IR-E-U-0564,University of Petroleum and Energy Studies,Dehradun,46.43,13.07,26.34,14.68,11.32,65.41,10.57,12.02,5,0.26,27.85,21.74,15,10.89,0.46,48.09,21.43,20.79,0.01,20,62.23,26.21,61
62,IR-E-U-0014,International Institute of Information Technology Hyderabad,Hyderabad,46.41,8.26,16.85,11.69,12.37,49.17,17.01,16.36,2.5,2.71,38.58,24.93,11.58,25,2.49,64,17.81,12.7,0.5,20,51.01,21.93,62
63,IR-E-U-0072,National Institute of Technology,Patna,46.24,12.97,21.06,14.11,12.82,60.96,14.53,15.36,1,1.88,32.77,33.39,14.33,13.74,4.3,65.76,10.37,11.67,0.65,20,42.69,7,63
64,IR-E-U-0555,Graphic Era University,Dehradun,45.87,12.95,30,15.46,12.64,71.05,5.39,8.42,4,0.39,18.2,21.22,14.3,10.92,1.69,48.13,18.75,26.69,1.84,20,67.28,27.35,64
